;link;id;Landscape;Portrait;Documentary;Other (photo) with description;Text;Other (picture) with description;Directly related;Indirectly related;Positiv;Negative;Likeseeker;refugees help;meeting refugees;sea crossing;public demonstration;refugees documentary;konferenz;opinion;ref. Lager;humnanism;others;;;;
82850;https://www.instagram.com/p/3y-RLQrcWv/;1005139526062818735_1327928;;;;konferenz;;;;1;1;;;;;;;;1;;;;;;;;
42702;https://www.instagram.com/p/8K1byULWp6/;1083913666252597882_1185447905;;;1;;;;1;;0;0;;;;;;;;;1;;;;;;
103659;https://www.instagram.com/p/mt6M8MI_0X/;697469493271854359_231152302;;1;;;;;1;;1;;;1;;;;;;;;;;;;;
120228;https://www.instagram.com/p/8xtCZjAsWx/;1094854261390624177_1575945176;1;;;;;;;1;0;0;;;;1;;;;;;;;;;;
57635;https://www.instagram.com/p/7e9ESJCInc/;1071562336554748380_1089845545;;;;;;ppl on bikes;;1;1;;;1;;;;;;;;;;;;;
38192;https://www.instagram.com/p/8gB8d3Hgea/;1089879663102003098_487691920;;;;;1;;;1;1;;;;;;;;;;;1;;;;;
119230;https://www.instagram.com/p/9WkwnoMoYc/;1105232429325649436_241343232;;;1;;;;;1;0;0;;;;;;;1;;;;;;;;
132855;https://www.instagram.com/p/93uAWPpPrS/;1114561766821788370_991447365;;;1;;;;1;;0;0;;;;;;1;;;;;;;;;
116761;https://www.instagram.com/p/-j7seVCoT0/;1127006872739153140_1611920672;;1;;;;;;1;0;0;;;;;;;;;;;1;;;;
46173;https://www.instagram.com/p/78THA4FyLS/;1079822055523164882_44906479;;1;;;;;1;;1;1;;;;;;;;1;;;;;;;
53248;https://www.instagram.com/p/7n2R8oKh37/;1074065763992215035_1618092694;;;1;;;;1;;1;;;1;;;;;;;;;;;;;
55257;https://www.instagram.com/p/7i22o8MRT1/;1072660910590465269_23373140;;;1;;;;1;;1;;;;;;1;;;;;;;;;;
54651;https://www.instagram.com/p/7kpmUEKy9K/;1073165564012867402_219392762;;;1;;;;1;;1;;;;1;;1;;;;;;;;;;
121417;https://www.instagram.com/p/8ROY2wodyJ/;1085712265889569929_29332166;;;1;;;;;1;0;0;;;;1;;;;;;;;;;;
73054;https://www.instagram.com/p/6-ywrLS8br/;1062509809326868203_774199848;;;1;;;;;1;0;0;;;;1;;;;;;;;;;;
39344;https://www.instagram.com/p/8aO2-ziooR/;1088247610903005713_561035673;;;1;;;;;1;0;0;;1;;;;;;;;;;;;;
30365;https://www.instagram.com/p/9RFxvELvtq/;1103688791705451370_48858005;;;1;;;;1;;0;0;;;;;;1;;;;;;;;;
120824;https://www.instagram.com/p/8fgJpFHnpf/;1089731034919893599_1103886949;;;1;;;;1;;0;0;;;;;;1;;;;;;;;;
52302;https://www.instagram.com/p/7qS8uijJb9/;1074754799058851581_206245804;;;1;;;;;1;0;0;;;;;;1;;;;;;;;;
37172;https://www.instagram.com/p/8leTRDzEvf/;1091411750089935839_1716769881;;;1;;;;1;;0;0;;;;;;1;;;;;;;;;
20326;https://www.instagram.com/p/-LgUzKpBN7/;1120131099148948347_48957307;;1;;;;;;1;1;;;;;;;;;1;;;;;;;
20995;https://www.instagram.com/p/-Jkeu4SfPV/;1119586423973475285_53314731;;1;;;;;;1;1;;;;;;;;;;;;1;;;;
46233;https://www.instagram.com/p/78INpZpiat/;1079774132841096877_23502440;;;;;1;;1;;1;;;;;;;;;;;;1;;;;
102141;https://www.instagram.com/p/pN-2NLwUjQ/;742525917477292240_48099177;;;;dall picture;;;;1;0;0;;1;;;;;;;;;;;;;
22206;https://www.instagram.com/p/-EX3lzyAYx/;1118123582732895793_1935879608;;;1;;;;1;;1;;;;;;;;;;;;support;;;;
64437;https://www.instagram.com/p/7QxVJwLE-p/;1067570069546749865_632782834;;;1;;;;;1;1;;;;;;1;;;;;;;;;;
92671;https://www.instagram.com/p/yVIRhyud7e/;906667288872738526_2893702;;;1;;;;1;;0;0;;;;;;;;;1;;;;;;
52308;https://www.instagram.com/p/7qSHziG_X6/;1074751162287912442_196771788;;;1;;;;1;;0;0;;;;;;;;;1;;;;;;
31858;https://www.instagram.com/p/9HnBhNiUdL/;1101020262109366091_2018350592;;;;;1;;;1;0;0;;;;;;;;;;;1;;;;
38154;https://www.instagram.com/p/8gLPCeHCry/;1089920521780079346_986336801;;;;;;kartinka;;1;0;0;;;;;;;;;;;1;;;;
96262;https://www.instagram.com/p/vXVtm9QK2N/;853246147593022861_1027029138;;;;;;;;;;;;;;;;;;;;;;;;;
109727;https://www.instagram.com/p/brihKuMtBh/;498643996591181921_176333251;;;;;;;;;;;;;;;;;;;;;;;;;
51189;https://www.instagram.com/p/7tUDTXimdb/;1075604073896109915_495610664;;;;;;;;;;;;;;;;;;;;;;;;;
102808;https://www.instagram.com/p/oGQSQqtOUC/;722336413830669570_198384;;;1;;;;;1;0;0;;;;;;;;;1;;;;;;
55814;https://www.instagram.com/p/7iSMZdJf-5/;1072499678071095225_1372377430;;;;candle;;;;1;0;0;;;;;;;;;;;1;;;;
95588;https://www.instagram.com/p/wBMhPoqj-p/;865027664521084841_179972702;;;;;;;;;;;;;;;;;;;;;;;;;
58957;https://www.instagram.com/p/7cBLcCtIcc/;1070735995478247196_205308360;;;;1;;;;1;0;0;;;;;;;;;;;1;;;;
63809;https://www.instagram.com/p/7SQ0GzAbPw/;1067990011095397360_211930107;;;1;;;;1;;1;;;;;;;;;1;;;;;;;
106319;https://www.instagram.com/p/ilSMsezW9G/;622984160693022534_445154954;;1;;;;;1;;0;0;;;;;;1;;;;;;;;;
43654;https://www.instagram.com/p/8GiQG5LUzn/;1082703400923909351_26352898;;;1;;;;1;;1;;;;;;;;;;;;1;;;;
97024;https://www.instagram.com/p/urvCJ3wK2n/;840972611658755495_1027029138;;;;menue;;;;1;0;0;;;;;;;;;;;1;;;;
57198;https://www.instagram.com/p/7fyWVHIaMn/;1071796673159734055_1169422151;;;1;;;;1;;1;;;1;;;;;;;;;;;;;
5810;https://www.instagram.com/p/-_w90iB9XR/;1134840985646781905_1329940500;;;1;;;;1;;0;0;;1;;;;;;;;;;;;;
17173;https://www.instagram.com/p/-RtW8jJdwD/;1121877271127645187_1962752422;;;1;;;;1;;1;0;;1;;;;;;;;;;ukraine;;;
45081;https://www.instagram.com/p/8AxwqFR4Wm/;1081082758568576422_1315449576;;1;;;;;1;;1;;;;;;;;;;;;1;;;;
26109;https://www.instagram.com/p/9ravMOOWuv/;1111099325225200559_24438673;;;1;;;;1;;1;;;;;;;;;;;1;;;;;
67088;https://www.instagram.com/p/7Nn_txQ_va/;1066684589042564058_251754349;;;;;1;;;1;0;0;;;;;;;;;;1;;;;;
133430;https://www.instagram.com/p/9Q0PTgtJvo/;1103611658866301928_1937003365;;;;;1;;;1;0;0;;;;;;;;;;1;;;;;
62609;https://www.instagram.com/p/7UX90sN3MR/;1068584415127892753_189743547;;;;symbol (Schloss);;;;1;1;;; ;;;;;;;;1;;;;;
128890;https://www.instagram.com/p/-wCm6siPOi/;1130414976927331234_2291830571;;;;;;;;;;;;;;;;;;;;;;;;;
108213;https://www.instagram.com/p/eMxxP3uBO7/;544028543579329467_371253587;;;;;;;;;;;;;;;;;;;;;;;;;
59251;https://www.instagram.com/p/7bDef4ps4j/;1070464626390912547_297382482;;;;;;;;;;;;;;;;;;;;;;;;;
